Overall Qual,Gr Liv Area,Garage Area,Garage Cars,Total Bsmt SF,1st Flr SF,Year Built,Year Remod/Add,Full Bath,Garage Yr Blt,Mas Vnr Area,TotRms AbvGrd,Id,SalePrice
5,894,450.0,2.0,894.0,894,1968,1968,1,1968.0,0.0,5,2062,129000
8,1659,499.0,2.0,1501.0,1659,2000,2000,2,2000.0,0.0,5,351,278000
6,1187,420.0,2.0,1168.0,1187,1992,2007,2,1992.0,0.0,6,12,185000
5,1056,572.0,2.0,1056.0,1056,1955,1955,1,1955.0,0.0,5,2339,145000
6,1453,530.0,2.0,1453.0,1453,1961,1961,2,1961.0,3.0,6,624,187500
5,894,336.0,1.0,894.0,894,1965,2009,1,1973.0,0.0,5,86,138500
5,1938,240.0,1.0,942.0,1265,1937,1995,2,1937.0,0.0,7,1534,198000
5,1991,0.0,0.0,957.0,1034,1895,2006,2,1895.0,0.0,9,2243,119600
5,924,576.0,2.0,672.0,672,1949,2006,1,2003.0,0.0,6,1957,122900
8,2524,542.0,2.0,2524.0,2524,1981,1981,2,1981.0,0.0,9,380,278000
8,1517,400.0,2.0,792.0,792,1929,1950,1,1931.0,0.0,7,2860,230000
8,1494,481.0,2.0,1494.0,1494,1995,1996,1,1995.0,0.0,6,2517,270000
6,948,410.0,2.0,948.0,948,1952,1952,1,1952.0,0.0,5,1933,125000
8,1718,826.0,3.0,1705.0,1718,2007,2008,2,2007.0,336.0,7,820,297000
6,1142,384.0,1.0,160.0,1142,1958,1958,1,1958.0,82.0,5,675,113500
5,1475,336.0,1.0,757.0,925,1977,1977,2,1977.0,0.0,6,2910,127000
6,1844,546.0,2.0,1844.0,1844,1977,1977,2,1977.0,480.0,7,21,190000
7,1242,528.0,2.0,1242.0,1242,1973,1973,1,1973.0,320.0,6,1873,175500
5,990,384.0,1.0,990.0,990,1994,1994,1,1995.0,0.0,5,2125,146000
5,1256,276.0,1.0,1256.0,1256,1965,1965,1,1965.0,0.0,6,1489,147500
5,1110,602.0,2.0,1097.0,1110,1978,1978,1,1978.0,104.0,4,983,165500
5,1795,352.0,1.0,1050.0,1050,1954,1954,2,1954.0,335.0,7,1325,131500
5,1040,384.0,1.0,1040.0,1040,1965,1965,1,1965.0,0.0,5,1378,129500
8,1873,786.0,2.0,608.0,983,1935,1950,1,1935.0,40.0,9,1537,257076
5,1604,660.0,2.0,984.0,984,1941,1960,2,1977.0,0.0,6,905,117000
7,1502,270.0,1.0,776.0,851,1931,2000,1,1931.0,0.0,6,1532,149000
5,1063,280.0,1.0,1056.0,1063,1954,1954,1,1954.0,110.0,6,132,128000
7,1626,474.0,2.0,764.0,764,2003,2004,2,2003.0,106.0,6,1078,155000
6,1524,440.0,2.0,756.0,768,2000,2000,2,2000.0,513.0,4,2511,166000
4,1981,576.0,2.0,1122.0,1328,1928,1950,2,1981.0,0.0,7,912,135000
7,2784,564.0,2.0,1392.0,1392,1978,1978,3,1978.0,184.0,12,2351,250000
4,1092,0.0,0.0,546.0,546,1970,1970,1,1970.0,0.0,5,330,76000
6,1575,400.0,2.0,216.0,1575,1951,1951,1,1951.0,522.0,5,2586,155000
6,1352,299.0,1.0,663.0,663,1969,1969,1,1969.0,143.0,7,224,158000
7,1200,480.0,2.0,600.0,600,2004,2005,2,2004.0,0.0,4,98,149500
5,936,240.0,1.0,936.0,936,1954,1975,1,1954.0,0.0,5,2565,121000
6,1040,293.0,1.0,1040.0,1040,1953,1953,1,1953.0,0.0,6,1934,136000
6,1636,386.0,2.0,916.0,916,1996,1996,2,1996.0,0.0,7,997,173000
8,2270,671.0,3.0,1152.0,1164,1999,2007,2,1999.0,348.0,9,64,290000
8,2610,550.0,2.0,1184.0,1184,2007,2007,2,2007.0,0.0,11,1799,303477
7,1483,690.0,2.0,1420.0,1483,1977,2001,1,1977.0,0.0,4,230,270000
5,1740,225.0,1.0,936.0,960,1920,1950,1,1920.0,0.0,6,1295,122250
5,1382,350.0,1.0,1382.0,1382,1955,1955,1,1955.0,0.0,6,638,153000
5,1120,0.0,0.0,1120.0,1120,2007,2007,1,2007.0,0.0,6,2278,147000
7,1098,216.0,1.0,531.0,567,1930,1995,1,1930.0,0.0,5,2202,148500
7,1708,380.0,2.0,976.0,976,2004,2004,2,2004.0,117.0,7,2833,130000
9,1802,843.0,3.0,1802.0,1802,2006,2006,2,2006.0,510.0,7,1707,372000
7,1506,440.0,2.0,1362.0,1506,2005,2005,2,2005.0,145.0,6,2428,213490
7,1508,572.0,2.0,1508.0,1508,2009,2010,1,2009.0,96.0,5,242,308030
7,2032,786.0,3.0,1840.0,2032,1996,1997,3,1996.0,668.0,7,1564,300000
6,1194,539.0,2.0,655.0,1194,1959,1959,1,1954.0,0.0,6,2613,159500
7,1709,380.0,2.0,970.0,970,2004,2004,2,2004.0,50.0,7,2832,137500
7,1616,834.0,3.0,1616.0,1616,2005,2005,2,2005.0,228.0,7,2459,232000
6,768,440.0,2.0,768.0,768,1930,1950,1,1930.0,0.0,4,1360,93850
5,872,322.0,1.0,872.0,872,1924,1950,1,1924.0,65.0,5,2723,105000
4,520,240.0,1.0,520.0,520,1927,1950,1,1920.0,0.0,4,1350,68500
5,2274,480.0,2.0,1105.0,1105,1960,1960,2,1960.0,361.0,12,136,154300
5,1601,0.0,0.0,936.0,936,1925,2003,2,1925.0,0.0,6,2235,129850
5,1232,480.0,2.0,616.0,616,1910,1950,1,1920.0,0.0,6,1993,114000
9,2234,1166.0,3.0,2216.0,2234,2008,2009,2,2009.0,748.0,9,367,501837
5,1416,720.0,3.0,876.0,876,1915,1950,1,1949.0,0.0,7,1309,153900
4,864,576.0,2.0,864.0,864,1971,2006,1,1986.0,0.0,5,402,130000
6,1189,392.0,2.0,1189.0,1189,1997,1997,2,1997.0,197.0,4,1592,160500
9,1666,575.0,2.0,1666.0,1666,2006,2006,2,2006.0,572.0,6,2409,310090
5,928,252.0,1.0,928.0,928,1956,2000,1,1956.0,0.0,4,1940,132000
5,1336,502.0,2.0,1288.0,1336,1969,1969,2,1969.0,128.0,6,588,163000
7,1200,480.0,2.0,600.0,600,2004,2004,2,2004.0,120.0,4,96,155000
6,1427,516.0,2.0,1427.0,1427,1969,1969,2,1969.0,0.0,7,1187,183000
7,1992,608.0,2.0,860.0,1212,1996,2002,2,1996.0,254.0,7,2154,211000
7,1540,495.0,2.0,754.0,754,1994,1994,2,1994.0,0.0,6,550,184000
5,1535,400.0,2.0,0.0,1535,1979,1979,2,1979.0,0.0,8,811,118858
5,1152,484.0,2.0,1152.0,1152,1964,1964,1,1964.0,86.0,6,124,180500
8,1151,484.0,2.0,1141.0,1151,2006,2007,2,2006.0,30.0,5,1836,166000
6,1138,480.0,2.0,1138.0,1138,1960,1960,1,1960.0,54.0,6,779,148000
5,1074,396.0,2.0,894.0,1074,1956,1956,1,1966.0,0.0,6,1886,124000
9,1561,556.0,2.0,1561.0,1561,2005,2005,2,2005.0,246.0,6,1724,277500
8,2726,725.0,3.0,1342.0,1358,1995,1995,2,1995.0,397.0,9,2450,350000
9,1884,670.0,3.0,1884.0,1884,2004,2004,2,2004.0,296.0,7,1013,387000
4,605,0.0,0.0,528.0,605,1920,2002,1,1920.0,0.0,5,2084,86000
8,1671,550.0,2.0,1426.0,1671,1976,2007,3,1976.0,0.0,6,1184,290000
3,797,0.0,0.0,245.0,797,1900,1950,1,1900.0,0.0,5,728,44000
6,1961,560.0,2.0,804.0,804,2001,2002,2,2001.0,0.0,7,950,215000
5,1193,501.0,2.0,1153.0,1193,1972,1972,2,1972.0,144.0,6,2524,146500
7,1382,490.0,2.0,673.0,673,2000,2000,2,2000.0,0.0,6,2513,165000
6,2526,216.0,1.0,714.0,1664,1916,1950,2,1916.0,0.0,10,2028,136000
6,1390,550.0,2.0,1705.0,1390,1957,1957,1,1957.0,902.0,4,2309,252000
7,1626,474.0,2.0,764.0,764,2003,2003,2,2003.0,106.0,6,51,175500
5,1558,400.0,2.0,690.0,868,1939,1950,1,1939.0,0.0,7,699,150000
5,1422,286.0,1.0,978.0,1422,1960,1978,1,1960.0,0.0,6,1881,139900
5,1573,360.0,2.0,1078.0,1128,1930,1992,2,1930.0,0.0,8,1345,162900
6,1116,440.0,2.0,1116.0,1116,1962,1962,1,1962.0,261.0,5,166,160000
2,660,0.0,0.0,0.0,660,1947,1950,1,1947.0,0.0,5,781,63900
6,1707,479.0,2.0,1140.0,1707,1978,1998,2,1978.0,144.0,7,379,184000
5,1466,528.0,2.0,1466.0,1466,1959,1959,1,1959.0,132.0,6,2818,149900
9,1638,495.0,2.0,1614.0,1638,2000,2000,2,2000.0,260.0,5,1168,300000
5,1721,626.0,2.0,988.0,1721,1960,1960,2,1960.0,275.0,7,1396,145000
6,1764,470.0,2.0,928.0,928,1997,1997,2,1997.0,0.0,7,838,231500
5,996,0.0,0.0,996.0,996,1940,1969,1,1940.0,0.0,6,1492,108000
5,1202,304.0,1.0,1202.0,1202,1956,1956,1,1956.0,0.0,6,637,120000
5,988,572.0,2.0,988.0,988,1961,1961,1,1963.0,57.0,5,1826,128500
5,1028,360.0,2.0,1008.0,1028,1927,1950,1,1927.0,0.0,5,173,115000
5,1284,240.0,1.0,720.0,720,1947,1950,1,1948.0,0.0,5,715,110000
9,2944,864.0,3.0,994.0,1599,1977,1977,2,1977.0,1050.0,9,1183,150000
8,1414,403.0,2.0,707.0,707,2004,2004,2,2004.0,0.0,6,2433,178000
7,1609,579.0,3.0,637.0,959,1932,1990,1,1963.0,0.0,8,2866,199500
6,1525,400.0,2.0,813.0,813,1997,1998,2,1997.0,0.0,6,2311,183500
5,1656,288.0,1.0,624.0,1092,1967,1967,1,1967.0,0.0,7,1551,126000
7,1055,440.0,2.0,1055.0,1055,1977,1977,2,1977.0,0.0,4,1049,148500
5,1352,720.0,2.0,676.0,676,1939,2006,2,1939.0,0.0,7,657,149000
6,1456,440.0,2.0,855.0,855,1977,1977,2,1977.0,0.0,6,414,137900
8,1719,473.0,2.0,1719.0,1719,1993,1993,1,1993.0,0.0,6,1181,324000
5,864,0.0,0.0,864.0,864,1925,1950,1,1925.0,0.0,5,1514,98000
6,987,264.0,1.0,483.0,483,1973,1973,1,1973.0,359.0,5,1040,103400
5,1020,0.0,0.0,780.0,780,1875,1996,1,1875.0,0.0,6,216,94000
8,1554,627.0,2.0,1554.0,1554,2006,2006,2,2006.0,108.0,6,1720,209500
10,3390,758.0,3.0,1528.0,1528,2006,2006,3,2006.0,662.0,10,2331,545224
6,1560,0.0,0.0,780.0,780,1912,2009,1,1912.0,0.0,7,204,159900
4,864,400.0,2.0,864.0,864,1951,1951,1,1951.0,0.0,4,19,141000
6,1889,431.0,2.0,982.0,1008,2000,2000,2,2000.0,0.0,9,2438,215000
5,1040,260.0,1.0,1040.0,1040,1962,2010,1,1962.0,0.0,6,89,127000
5,1172,366.0,1.0,1172.0,1172,1954,1998,1,1954.0,0.0,5,240,128000
8,1418,852.0,3.0,1642.0,1418,2010,2010,1,2010.0,0.0,6,105,267916
6,1367,560.0,1.0,884.0,959,1931,1950,1,1978.0,0.0,6,2020,127500
7,1922,672.0,2.0,0.0,495,2003,2003,3,2003.0,500.0,7,888,198500
6,1422,576.0,2.0,1422.0,1422,1981,1981,2,1981.0,210.0,7,1019,175500
7,1842,486.0,2.0,985.0,985,2000,2000,2,2000.0,144.0,7,2132,217500
4,1962,572.0,2.0,888.0,888,1915,1950,1,1915.0,0.0,9,203,149500
5,1120,656.0,2.0,864.0,1120,1966,2004,1,1966.0,165.0,5,420,148800
9,2868,716.0,3.0,1992.0,1992,2005,2006,3,2005.0,208.0,11,2333,556581
6,1478,442.0,2.0,1478.0,1478,1957,1957,1,1957.0,0.0,6,632,156500
7,1995,610.0,2.0,930.0,950,1995,1996,2,1995.0,0.0,8,2800,237000
5,912,297.0,1.0,912.0,912,1958,1985,1,1958.0,0.0,5,1885,120000
6,1326,388.0,2.0,1326.0,1326,2005,2005,2,2005.0,0.0,6,1734,203000
8,1204,461.0,2.0,1191.0,1204,1987,1987,2,1987.0,0.0,5,2327,130000
6,1611,442.0,2.0,780.0,798,1964,1964,1,1964.0,360.0,7,1282,167900
4,960,576.0,2.0,960.0,960,1970,1970,1,1970.0,160.0,6,2688,129000
5,1236,447.0,1.0,1070.0,1236,1957,1996,1,1957.0,64.0,6,2581,134450
5,1416,576.0,2.0,816.0,1416,1918,2007,2,2007.0,0.0,7,2067,112000
7,1873,619.0,2.0,929.0,946,1988,1988,2,1988.0,360.0,7,2115,207000
5,2128,0.0,0.0,1040.0,1088,1922,1950,2,1922.0,0.0,11,754,62500
7,1626,474.0,2.0,764.0,764,2003,2004,2,2003.0,106.0,6,1079,154000
5,816,308.0,1.0,816.0,816,1957,1957,1,1957.0,0.0,5,2615,129900
5,1112,336.0,1.0,536.0,536,1976,1976,1,1976.0,0.0,4,329,85000
7,1111,288.0,1.0,572.0,572,1926,1950,1,1982.0,0.0,5,1320,116900
6,1441,440.0,2.0,855.0,855,1978,1978,2,1978.0,0.0,7,416,148500
4,924,280.0,1.0,672.0,672,1941,1950,1,1941.0,0.0,5,284,80000
5,1126,506.0,2.0,1060.0,1126,1984,1984,1,1984.0,0.0,5,1385,152000
5,992,319.0,1.0,381.0,992,1954,1954,1,1954.0,0.0,6,275,155891
6,1376,576.0,2.0,768.0,752,1920,1950,1,1977.0,0.0,7,2024,165000
7,1218,676.0,2.0,1218.0,1218,2009,2010,2,2009.0,0.0,4,68,204500
5,1644,312.0,1.0,728.0,888,1942,1995,1,1942.0,224.0,7,1910,146500
7,1601,478.0,2.0,1271.0,1601,1978,1978,2,1978.0,206.0,7,381,157000
7,2495,342.0,2.0,1313.0,1313,1890,1999,2,1950.0,0.0,10,1323,184000
6,1509,393.0,2.0,783.0,807,2002,2003,2,2002.0,0.0,7,2432,183200
5,1092,288.0,1.0,1092.0,1092,1962,1962,1,1962.0,116.0,6,777,139000
7,2418,983.0,3.0,1311.0,1325,1993,1994,2,1993.0,651.0,9,1107,341000
6,987,264.0,1.0,483.0,483,1971,1971,1,1971.0,504.0,5,30,96000
4,1121,440.0,2.0,1121.0,1121,2003,2004,2,2003.0,0.0,5,282,140000
6,1236,923.0,2.0,912.0,1236,1957,1996,1,1957.0,0.0,6,188,149700
5,1074,495.0,2.0,1056.0,1074,1975,1975,1,1975.0,0.0,6,2356,153500
1,733,487.0,2.0,0.0,733,1952,1952,1,1952.0,0.0,4,1554,13100
7,1768,543.0,2.0,884.0,884,2003,2003,2,2003.0,252.0,8,1464,224900
7,1266,453.0,2.0,1257.0,1266,2005,2005,2,2005.0,0.0,6,2469,176000
8,2872,541.0,2.0,1683.0,2129,1992,2000,2,1992.0,337.0,9,1834,285000
8,1464,754.0,3.0,1485.0,1464,2007,2007,2,2007.0,84.0,6,1779,282922
7,2157,487.0,2.0,924.0,1216,1966,1966,2,1966.0,309.0,8,2569,226000
8,2576,666.0,3.0,1234.0,1264,2006,2006,2,2006.0,466.0,10,2334,361919
9,2798,670.0,3.0,1398.0,1414,2005,2006,3,2005.0,600.0,11,2330,457347
8,1743,529.0,2.0,966.0,1743,1976,1976,0,1976.0,0.0,5,2119,279000
6,1567,714.0,2.0,1567.0,1567,1977,1977,2,1977.0,0.0,5,988,196000
7,1370,479.0,2.0,1090.0,1370,1976,1976,2,1976.0,189.0,6,382,152000
5,2634,968.0,4.0,1248.0,1338,1969,1969,2,1969.0,368.0,12,670,200000
8,1590,754.0,3.0,1570.0,1590,2005,2006,2,2005.0,198.0,6,2760,294900
7,1450,788.0,3.0,1450.0,1450,2008,2009,2,2008.0,140.0,6,543,224243
6,1338,528.0,2.0,832.0,846,1915,1950,2,1974.0,0.0,7,2835,92000
7,1456,400.0,2.0,728.0,728,2007,2007,2,2007.0,0.0,8,1735,179540
10,2392,968.0,3.0,2392.0,2392,2003,2003,2,2003.0,922.0,8,448,386250
4,992,297.0,1.0,530.0,530,1970,1970,1,1970.0,0.0,4,2287,106500
10,2007,812.0,3.0,1017.0,1026,2008,2008,2,2008.0,160.0,10,524,310000
7,2385,600.0,3.0,1066.0,1108,1998,1998,2,1998.0,275.0,8,1767,252000
7,1646,240.0,1.0,918.0,918,1941,1950,2,1941.0,0.0,7,2206,164000
7,1456,400.0,2.0,728.0,728,2007,2007,2,2007.0,16.0,7,1740,177594
5,1040,624.0,2.0,528.0,548,1936,1980,1,1979.0,0.0,5,199,123900
6,2624,864.0,3.0,1370.0,1370,1918,1950,2,1918.0,0.0,10,2214,239000
5,1264,528.0,2.0,1068.0,1264,1965,1977,1,1965.0,0.0,7,323,169000
7,1557,420.0,2.0,1374.0,1557,2003,2004,2,2003.0,18.0,7,2421,234000
6,1287,541.0,2.0,957.0,1287,1977,1977,1,1977.0,0.0,5,952,173000
6,1004,480.0,2.0,1004.0,1004,1970,1970,1,1970.0,180.0,5,24,149000
7,1162,483.0,2.0,1162.0,1162,2007,2007,2,2007.0,0.0,6,1139,170000
5,960,300.0,1.0,960.0,960,1963,2003,1,1963.0,0.0,6,1390,144900
5,1196,336.0,1.0,1196.0,1196,1968,1968,1,1968.0,0.0,6,277,144000
8,1269,430.0,2.0,1256.0,1269,2004,2005,2,2004.0,16.0,6,54,192000
5,1031,230.0,1.0,1031.0,1031,1952,2005,1,1952.0,0.0,5,649,145500
4,720,280.0,1.0,448.0,448,1900,1998,1,1900.0,0.0,5,2600,86900
6,1505,505.0,2.0,1505.0,1505,1953,1953,1,1953.0,90.0,6,617,149500
5,954,240.0,1.0,920.0,954,1938,1950,1,1938.0,0.0,5,2209,119750
6,1500,564.0,2.0,750.0,750,2005,2006,2,2005.0,0.0,6,2814,173900
5,1050,368.0,1.0,1050.0,1050,1961,1961,1,1961.0,0.0,6,2542,136500
8,2687,618.0,2.0,2062.0,2079,1994,1994,2,1994.0,0.0,9,2323,270000
6,1252,564.0,2.0,1602.0,1252,1960,1975,1,1960.0,0.0,4,1393,235000
7,1430,400.0,2.0,384.0,774,1999,2000,2,1999.0,0.0,7,490,156000
5,1114,576.0,2.0,1114.0,1114,2003,2004,2,2004.0,0.0,6,542,153000
6,1224,402.0,2.0,1224.0,1224,1999,1999,2,1999.0,425.0,5,973,165000
9,2504,656.0,3.0,1122.0,1134,2005,2007,2,2005.0,245.0,11,1012,325000
5,1355,528.0,2.0,728.0,760,1941,1950,2,1966.0,0.0,5,2218,140000
6,2294,658.0,2.0,741.0,1497,1963,1963,3,1963.0,234.0,9,2033,202500
9,1702,1052.0,3.0,1702.0,1702,2008,2008,1,2008.0,766.0,7,1071,367294
6,1509,600.0,2.0,1461.0,1509,1988,1989,2,1988.0,219.0,5,1583,175000
7,1717,642.0,3.0,756.0,961,1915,1970,1,1998.0,0.0,7,2858,140000
7,1240,528.0,2.0,1265.0,1240,1985,1985,2,1985.0,0.0,6,2265,174000
7,1166,400.0,2.0,856.0,1166,2005,2005,2,2005.0,182.0,5,1088,190000
5,1464,0.0,0.0,504.0,764,1910,2002,2,1910.0,0.0,7,698,129000
6,1652,510.0,2.0,1592.0,1652,1959,1991,1,1959.0,136.0,6,1896,200000
6,2142,509.0,1.0,896.0,1182,1968,1968,2,1968.0,576.0,8,628,193500
6,1092,504.0,2.0,1092.0,1092,1964,1964,1,1964.0,260.0,6,1212,145000
7,1671,451.0,2.0,1022.0,1122,1929,1950,2,1963.0,270.0,7,2864,218000
5,1488,569.0,2.0,0.0,1488,1952,2002,1,2002.0,232.0,7,2740,135000
5,1624,240.0,1.0,1444.0,1624,1952,1952,1,1952.0,150.0,6,2560,146500
6,1362,460.0,2.0,1362.0,1362,2005,2006,2,2005.0,256.0,6,1716,194700
7,1218,462.0,2.0,1218.0,1218,2007,2008,2,2008.0,210.0,6,1130,230348
6,1068,288.0,1.0,1124.0,1068,1923,1950,1,1923.0,0.0,5,201,109500
6,1625,576.0,2.0,1625.0,1625,1979,1979,2,1979.0,0.0,6,2886,242500
7,1767,504.0,2.0,1064.0,1064,1987,1987,2,1987.0,0.0,5,2328,239000
6,1050,286.0,1.0,1050.0,1050,1954,2000,1,1954.0,176.0,6,2583,156000
4,907,352.0,1.0,907.0,907,1957,1957,1,1964.0,0.0,5,1206,109008
2,845,256.0,1.0,0.0,640,1939,1950,1,1950.0,0.0,4,2242,68104
8,2501,751.0,3.0,1242.0,1251,1995,1995,2,1995.0,466.0,9,1105,290000
5,1209,504.0,2.0,1209.0,1209,1966,1966,1,1966.0,0.0,6,121,159000
4,906,231.0,1.0,348.0,453,1937,1950,1,1937.0,0.0,5,1223,87000
8,1601,670.0,2.0,1581.0,1601,2001,2002,2,2001.0,479.0,6,265,272000
7,1336,502.0,2.0,1336.0,1336,2005,2006,2,2005.0,0.0,6,2813,198000
4,1656,440.0,2.0,801.0,1095,1940,1985,2,1958.0,0.0,8,1294,119164
5,1124,0.0,0.0,0.0,1124,1954,1954,1,1954.0,0.0,5,2745,93000
7,1892,431.0,2.0,982.0,1008,2000,2001,2,2000.0,647.0,8,1094,226750
3,1699,420.0,2.0,978.0,1014,1900,1970,2,1920.0,0.0,7,651,95000
6,1416,312.0,1.0,780.0,780,1948,1950,1,1948.0,0.0,6,198,139900
3,1306,0.0,0.0,728.0,1306,1940,1966,1,1940.0,0.0,6,131,76500
4,672,308.0,1.0,672.0,672,1940,2005,1,1997.0,0.0,4,1258,86900
5,1160,257.0,1.0,1113.0,1160,1968,1968,1,1968.0,0.0,6,1599,152500
4,930,286.0,1.0,911.0,930,1953,1953,1,1953.0,115.0,5,1508,99000
4,708,0.0,0.0,420.0,708,1940,1950,1,1940.0,0.0,5,615,82500
6,1575,529.0,2.0,1575.0,1575,1992,1992,2,1992.0,0.0,5,1815,179200
5,1059,286.0,1.0,1059.0,1059,1966,1966,1,1966.0,0.0,6,2712,142500
4,1005,440.0,2.0,1005.0,1005,1964,1964,1,1964.0,0.0,5,2051,115400
7,1929,650.0,2.0,1057.0,1057,2001,2001,2,2001.0,0.0,7,1863,226000
7,1200,480.0,2.0,600.0,520,2005,2005,2,2005.0,0.0,4,2510,144152
8,2690,795.0,3.0,1765.0,1804,2003,2003,2,2003.0,221.0,9,1069,370000
5,833,495.0,2.0,833.0,833,1984,1984,1,1984.0,0.0,5,336,149900
6,1456,429.0,2.0,728.0,728,2006,2006,2,2006.0,0.0,8,2417,172785
5,864,720.0,2.0,864.0,864,1950,2002,1,1980.0,0.0,5,1962,129000
6,1586,435.0,2.0,1362.0,1586,1979,1998,2,1979.0,0.0,7,372,181000
5,1370,300.0,1.0,1058.0,1370,1956,1956,1,1956.0,272.0,6,2578,148000
7,1555,430.0,2.0,1373.0,1555,2005,2006,2,2005.0,16.0,7,471,192500
6,1556,452.0,2.0,716.0,716,1980,1980,2,1980.0,0.0,6,1544,151000
5,882,461.0,2.0,882.0,882,1972,1972,1,1980.0,0.0,5,2141,112500
5,1167,495.0,2.0,915.0,1167,1920,1950,1,1972.0,0.0,6,2008,144000
9,1800,944.0,3.0,1800.0,1800,2007,2008,2,2008.0,714.0,6,1075,370967
6,1456,440.0,2.0,855.0,855,1975,1975,2,1975.0,0.0,6,34,149900
7,1660,493.0,2.0,831.0,831,2002,2002,2,2002.0,95.0,7,847,195000
7,1482,392.0,2.0,384.0,812,1992,1992,2,1992.0,170.0,7,1629,163900
6,1522,552.0,2.0,1190.0,1522,1984,1984,2,1984.0,136.0,7,2073,182000
9,2036,780.0,3.0,2190.0,2036,2008,2008,2,2008.0,246.0,9,960,410000
5,1595,672.0,2.0,1582.0,1595,1991,1991,2,1991.0,0.0,5,955,152000
7,1686,462.0,2.0,891.0,891,2005,2005,2,2005.0,172.0,8,2476,184000
7,1344,784.0,4.0,1344.0,1344,1997,1998,2,1997.0,200.0,8,1590,206300
5,1652,928.0,3.0,1652.0,1652,1970,1970,2,1970.0,0.0,8,2913,146500
4,1337,263.0,1.0,832.0,832,1956,1956,1,1956.0,0.0,5,149,108000
7,1920,487.0,2.0,570.0,1222,1968,1992,3,1968.0,143.0,8,2525,170000
6,848,420.0,2.0,848.0,848,2004,2004,1,2004.0,205.0,3,1470,145000
7,1055,440.0,2.0,1057.0,1055,1975,1975,2,1975.0,0.0,4,412,123000
6,1291,431.0,2.0,1291.0,1291,1996,1997,1,1996.0,0.0,6,1399,173000
6,720,484.0,2.0,624.0,720,1928,2003,1,2005.0,0.0,5,183,105900
4,988,297.0,1.0,462.0,526,1973,1973,1,1973.0,0.0,5,974,91000
5,1523,295.0,1.0,1067.0,986,1949,2005,2,1949.0,0.0,7,930,158000
7,1728,572.0,2.0,864.0,864,2004,2004,2,2004.0,0.0,7,881,190000
8,1239,477.0,2.0,1230.0,1239,1995,1995,1,1995.0,0.0,4,1180,217500
5,1955,356.0,1.0,1151.0,1151,1958,1958,2,1958.0,162.0,7,1553,165500
7,1564,234.0,1.0,704.0,860,1941,1950,1,1941.0,0.0,7,928,174500
4,1204,312.0,1.0,416.0,1204,1954,1954,1,1954.0,0.0,6,1512,100000
6,1329,312.0,1.0,1329.0,1329,1958,1958,1,1958.0,108.0,6,3,172000
5,879,440.0,2.0,864.0,879,1975,1975,1,1975.0,0.0,5,2140,120000
4,841,294.0,1.0,721.0,841,1950,1950,1,1950.0,0.0,4,553,82000
6,1312,649.0,2.0,784.0,900,1947,1950,1,1953.0,0.0,6,2594,127000
6,2058,396.0,2.0,735.0,1134,1917,1950,1,1950.0,0.0,8,1314,129500
8,1360,565.0,2.0,1220.0,1360,1984,1984,1,1984.0,0.0,4,366,187500
8,1786,715.0,3.0,1778.0,1786,2002,2003,2,2002.0,240.0,6,1462,300000
6,1993,495.0,2.0,825.0,1097,1971,1971,2,1971.0,252.0,8,2541,190000
4,1362,280.0,1.0,951.0,986,1920,1950,2,1920.0,0.0,7,2088,96000
7,1550,438.0,2.0,1092.0,1112,2006,2007,2,2007.0,100.0,7,527,241000
